Year;Nationality;الجنسية;Country;الدولة;Gender;النوع;Number of Students
2022/2023;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Male;ذكر;5767
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Male;ذكر;92
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Female;أنثى;143
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Female;أنثى;934
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Female;أنثى;745
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Female;أنثى;727
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Female;أنثى;31
2022/2023;Other Countries;بلدان أخرى;Iran;إيران;Male;ذكر;223
2022/2023;Other Countries;بلدان أخرى;Other;أخرى;Male;ذكر;628
2021/2022;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Female;أنثى;17544
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Male;ذكر;434
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Male;ذكر;401
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Male;ذكر;45
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Female;أنثى;79
2021/2022;Other Countries;بلدان أخرى;Iran;إيران;Female;أنثى;340
2021/2022;Other Countries;بلدان أخرى;Pakistan;باكستان;Female;أنثى;499
2020/2021;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Female;أنثى;165
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Male;ذكر;364
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Female;أنثى;577
2020/2021;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Male;ذكر;33
2020/2021;Other Countries;بلدان أخرى;Canada;كندا;Female;أنثى;49
2020/2021;Other Countries;بلدان أخرى;India;الهند;Male;ذكر;267
2020/2021;Other Countries;بلدان أخرى;India;الهند;Female;أنثى;380
2019/2020;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Female;أنثى;71
2019/2020;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Male;ذكر;10
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Female;أنثى;477
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Male;ذكر;16
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Female;أنثى;345
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Male;ذكر;31
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Male;ذكر;15
2019/2020;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Female;أنثى;21
2019/2020;Other Countries;بلدان أخرى;Iran;إيران;Male;ذكر;124
2019/2020;Other Countries;بلدان أخرى;Pakistan;باكستان;Female;أنثى;190
2019/2020;Other Countries;بلدان أخرى;Other;أخرى;Female;أنثى;271
2018/2019;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Female;أنثى;15341
2018/2019;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Female;أنثى;114
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Male;ذكر;32
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Male;ذكر;67
2018/2019;Other Countries;بلدان أخرى;Canada;كندا;Male;ذكر;10
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Male;ذكر;21
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Male;ذكر;48
2016/2017;Other Countries;بلدان أخرى;India;الهند;Male;ذكر;54
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Male;ذكر;212
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Male;ذكر;55
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Male;ذكر;57
2014/2015;Other Countries;بلدان أخرى;Canada;كندا;Female;أنثى;31
2014/2015;Other Countries;بلدان أخرى;Other;أخرى;Female;أنثى;206
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Male;ذكر;47
2014/2015;Other Countries;بلدان أخرى;Canada;كندا;Male;ذكر;10
2014/2015;Other Countries;بلدان أخرى;India;الهند;Female;أنثى;90
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Female;أنثى;78
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Female;أنثى;324
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Female;أنثى;29
2022/2023;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Female;أنثى;124
2020/2021;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Male;ذكر;115
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Female;أنثى;81
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Female;أنثى;38
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Female;أنثى;83
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Female;أنثى;48
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Mouritani;موريتانيا;Male;ذكر;32
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Male;ذكر;55
2017/2018;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Male;ذكر;18
2017/2018;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Male;ذكر;9
2016/2017;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Male;ذكر;3678
2016/2017;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Male;ذكر;6
2016/2017;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Male;ذكر;87
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Female;أنثى;290
2016/2017;Other Countries;بلدان أخرى;India;الهند;Female;أنثى;112
2015/2016;Other Countries;بلدان أخرى;India;الهند;Female;أنثى;107
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Female;أنثى;544
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Male;ذكر;544
2022/2023;The Rest of the Arab Countries;باقي الدول العربية;Somalia;الصومال;Female;أنثى;149
2022/2023;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Female;أنثى;25
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Female;أنثى;880
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Male;ذكر;726
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Male;ذكر;398
2021/2022;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Male;ذكر;112
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Female;أنثى;145
2020/2021;The Rest of the Arab Countries;باقي الدول العربية;Sudan;السودان;Male;ذكر;343
2020/2021;Other Countries;بلدان أخرى;Pakistan;باكستان;Female;أنثى;451
2019/2020;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Female;أنثى;663
2018/2019;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Female;أنثى;46
2018/2019;Other Countries;بلدان أخرى;Pakistan;باكستان;Male;ذكر;81
2017/2018;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Male;ذكر;7
2017/2018;G.C.C;مجلس التعاون الخليجي;Saudi Arabia;المملكة العربية السعودية;Female;أنثى;378
2017/2018;G.C.C;مجلس التعاون الخليجي;Oman;عمان;Female;أنثى;123
2016/2017;G.C.C;مجلس التعاون الخليجي;United Arab Emirates;الإمارات العربية المتحدة;Male;ذكر;6
2016/2017;G.C.C;مجلس التعاون الخليجي;Bahrain;البحرين;Female;أنثى;168
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Other Arab Countries;الدول العربية الأخرى;Female;أنثى;96
2015/2016;G.C.C;مجلس التعاون الخليجي;Qatar;قطر;Female;أنثى;11355
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Egypt;مصر;Male;ذكر;650
2015/2016;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Female;أنثى;276
2015/2016;Other Countries;بلدان أخرى;Other;أخرى;Female;أنثى;363
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Male;ذكر;273
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Jordan;الأردن;Female;أنثى;483
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Syria;سوريا;Female;أنثى;239
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Tunisia;تونس;Male;ذكر;30
2014/2015;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Female;أنثى;57
2014/2015;Other Countries;بلدان أخرى;United States;الولايات المتحدة الأمريكية;Female;أنثى;40
2014/2015;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Male;ذكر;3
2014/2015;Other Countries;بلدان أخرى;United Kingdom;المملكة المتحدة;Female;أنثى;13
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Iraq;العراق;Male;ذكر;49
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Female;أنثى;37
2018/2019;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Female;أنثى;42
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Palestine;فلسطين;Male;ذكر;200
2017/2018;The Rest of the Arab Countries;باقي الدول العربية;Algeria;الجزائر;Male;ذكر;20
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Yemen;اليمن;Female;أنثى;568
2016/2017;The Rest of the Arab Countries;باقي الدول العربية;Lebanon;لبنان;Female;أنثى;37
2015/2016;G.C.C;مجلس التعاون الخليجي;Kuwait;الكويت;Male;ذكر;7
2015/2016;Other Countries;بلدان أخرى;Pakistan;باكستان;Female;أنثى;154
2015/2016;Other Countries;بلدان أخرى;India;الهند;Male;ذكر;51
